Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Electricité > Mix réseau électrique > Autres pays du monde,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément non décomposé,15606,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Suède",Autre pays du monde,Suède,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,0296",,,,
Elément,élément non décomposé,15607,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Suisse",Autre pays du monde,Suisse,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,0273",,,,
Elément,élément non décomposé,15608,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Turquie",Autre pays du monde,Turquie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,46",,,,
Elément,élément non décomposé,15609,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Royaume-Uni",Autre pays du monde,Royaume-Uni,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,457",,,,
Elément,élément non décomposé,15610,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Albanie",Autre pays du monde,Albanie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,00215",,,,
Elément,élément non décomposé,15611,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Arménie",Autre pays du monde,Arménie,Novembre 2014,Février 2016,déc.-19,10%,,,,,,,,,,,,,"0,0922",,,,
Elément,élément non décomposé,15612,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Azerbaïdjan",Autre pays du monde,Azerbaïdjan,Novembre 2014,Février 2016,déc.-19,10%,,,,,,,,,,,,,"0,439",,,,
Elément,élément non décomposé,15613,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Bélarus",Autre pays du monde,Bélarus,Novembre 2014,Février 2016,déc.-19,10%,,,,,,,,,,,,,"0,449",,,,
Elément,élément non décomposé,15614,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Bosnie-Herzégovine",Autre pays du monde,Bosnie-Herzégovine,Novembre 2014,Février 2016,déc.-19,10%,,,,,,,,,,,,,"0,723",,,,
Elément,élément non décomposé,15615,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Bulgarie",Autre pays du monde,Bulgarie,Novembre 2014,Février 2016,déc.-19,10%,,,,,,,,,,,,,"0,535",,,,
