Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20731,élément non décomposé,Valide générique,Bâtiment industriel,structure métallique,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Bâtiment industriel",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,
Elément,20732,élément non décomposé,Valide générique,Garage,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Garage",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,656,,,,,,,,,,,,,,,,
Elément,20733,élément non décomposé,Valide générique,Garage,structure métallique,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Garage",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,
Elément,20734,élément non décomposé,Valide générique,Commerce,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Commerce",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,
Elément,20735,élément non décomposé,Valide générique,Commerce,structure métallique,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Commerce",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,
Elément,20738,élément non décomposé,Valide générique,Etablissement d'enseignement,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Etablissement d'enseignement",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,
Elément,20739,élément non décomposé,Valide générique,Etablissement de santé,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Etablissement de santé",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,
Elément,20740,élément non décomposé,Valide générique,Centre de loisir,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Centre de loisir",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,
Elément,20741,élément non décomposé,Valide générique,Centre de loisir,structure métallique,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Centre de loisir",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,
Elément,20756,élément non décomposé,Valide générique,"Equitation, pantalon",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, equitation, pantalon",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,25%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
